city	lat	lon	year	size
Uruk (Iraq)	31.322222	45.636111	-3000	45000
Uruk (Iraq)	31.322222	45.636111	-2500	50000
Memphis (Egypt)	29.844667	31.250917	-2250	35000
Ur (Iraq)	30.913854	46.326265	-2000	60000
Babylon (Iraq)	32.4856	44.4345	-1750	65000
Uruk (Iraq)	31.322222	45.636111	-1500	75000
Thebes (Egypt)	31.19844	29.896722	-1400	80000
Babylon (Iraq)	32.4856	44.4345	-1200	80000
Tanis (Egypt)	30.976944	31.88	-1100	50000
Yinxu (China)	36.121389	114.316944	-1110	50000
Thebes (Egypt)	31.19844	29.896722	-1000	50000
Haojing (China)	34.266667	108.9	-995	35000
Chengzhou (China)	34.669722	112.442222	-990	35000
Thebes (Egypt)	31.19844	29.896722	-900	50000
Nimrud (Iraq)	36.099167	43.3275	-800	75000
Nineveh (Iraq)	36.359444	43.152778	-700	100000
Babylon (Iraq)	32.4856	44.4345	-600	125000
Babylon (Iraq)	32.4856	44.4345	-500	150000
Babylon (Iraq)	32.4856	44.4345	-400	150000
Alexandria (Egypt)	31.198	29.9192	-300	150000
Alexandria (Egypt)	31.198	29.9192	-200	300000
Rome (Italy)	41.9	12.5	-100	400000
Rome (Italy)	41.9	12.5	1	1000000
Rome (Italy)	41.9	12.5	300	800000
Constantinople (Turkey)	41.01224	28.976018	500	450000
Changan (China)	34.266667	108.9	600	600000
Changan (China)	34.266667	108.9	700	1000000
Changan (China)	34.266667	108.9	900	750000
Kaifeng (China)	34.8	114.3	1000	1000000
Hangzhou (China)	30.25	120.166667	1200	1000000
Hangzhou (China)	30.25	120.166667	1300	800000
Nanjing (China)	32.05	118.766667	1400	500000
Beijing (China)	39.913889	116.391667	1500	678000
Beijing (China)	39.913889	116.391667	1600	700000
Beijing (China)	39.913889	116.391667	1700	650000
Beijing (China)	39.913889	116.391667	1800	1100000
London United Kingdom	51.507222	-0.1275	1900	6600000
New York	43	-75	1925	7774000
Tokyo	35.700556	139.715	2000	26400000
